id,nama,email,no_hp,tanggal_daftar,status
83,Bambang Mulyani,bambang7282@yahoo.com,8891453660,2022-05-26,in-active
84,eko mulyani,eko4097@yahoo.com,8877211180,08-03-20,aktive
85,Rian Basuki,rian7913@yahoo.com,8242301437,2020-03-10,actve
86,Ratna Lestari,ratna517@gmail.com,8256740839,30-06-20,Active
87,putri fauzi,putri4623@hotmail.com,8212460239,13-12-23,active
88,Maya Hidayat,maya2456@yahoo.com,8382695794,25-02-23,aktive
89,Lani Purnama,lani6003@gmail.com,8463723809,04-11-20,in-active
90,EKO UTAMI,eko6824@yahoo.com,8472443943,2023-05-29,inactive
91,Indah Pratama,guntur8993@gmail.com,8113671075,2023-01-30,actve
92,guntur saPutra,guntur6687@gmail.com,8319712391,24-05-20,in-active
93,hendrA purnama,hendra732@hotmail.com,8283539811,09-11-22,banned
94,RATNA PURNAMA,ratna9477@hotmail.com,8849683942,15-08-23,banned
95,lani mulyani,lani5629@gmail.com,8287807044,2022-08-28,actve
96,PUTRI FAUZI,putri7311@gmail.com,8709523719,02/04/2023,Active
97,Dewi Nasution,dewi1430@yahoo.com,8563792257,2022-06-01,INACTIVE
98,joko ramaDhan,joko2034@hotmail.com,8238875452,12/11/2020,aktive
99,dEdi hidayat,dedi4260@hotmail.com,8185782269,09/11/2023,Active
100,DEDI WIJAYA,dedi9009@gmail.com,8469164713,2023-10-02,in-active
101,maya lestaRi,maya6863@gmail.com,8247740826,07/10/2020,inactive
102,LANI WATI,lani9743@yahoo.com,8845747394,23-07-22,active
103,buDi purnama,budi2857@gmail.com,8266970926,22/03/2021,BANNED
104,Sari Santoso,sari378@gmail.com,8418793211,14-03-20,inactive
105,Sari Hidayat,sari9189@gmail.com,8256815735,2020-07-12,banned
106,RATNA WATI,ratna2024@hotmail.com,8253385838,19/01/2020,inactive
107,aguS nasution,agus3221@yahoo.com,8808155412,2020-08-21,banned
108,Ani Hartono,ani1139@gmail.com,8266579781,2021-12-29,active
109,Dedi Hartono,dedi5900@gmail.com,8177354708,21-01-22,actve
110,maya wati,maya8353@yahoo.com,8193161807,26-03-20,active
111,MEGA GUNAWAN,mega5426@yahoo.com,8684078639,30-10-23,active
112,eko hArtono,eko948@gmail.com,8491103317,04-11-20,aktive
113,EKO WIJAYA,eko9308@yahoo.com,8204384698,2023-07-01,inactive
114,Mega Lestari,mega7565@gmail.com,8324090583,18/07/2021,actve
115,guNtur setiawan,guntur8717@yahoo.com,8841217313,29/01/2020,Active
116,hendra leStari,hendra2226@gmail.com,8552726722,29/03/2022,BANNED
117,HENDRA MULYANI,hendra7384@hotmail.com,8655274189,2023-06-30,BANNED
118,lani basuKi,mega5426@yahoo.com,8163624089,17-04-23,aktive
119,Putri Wijaya,putri2204@gmail.com,8263961094,2020-03-17,BANNED
120,AGUS PRATAMA,agus5973@yahoo.com,8131585722,13/10/2020,in-active
121,Ani Gunawan,ani1872@gmail.com,8614553715,05-12-22,aktive
122,dedi kusuma,dedi6129@hotmail.com,8769208927,06-07-21,in-active
123,guntur sireGar,guntur323@hotmail.com,8264685455,19/08/2023,active
124,meGa wati,mega9268@gmail.com,8498521150,14-01-20,active
125,rian Basuki,rian1324@gmail.com,8488847192,2023-12-19,BANNED
126,rian Saputra,rian6868@yahoo.com,8732158929,2021-12-05,aktive
127,ratna basuki,ratna9473@gmail.com,8938653610,30-07-20,inactive
128,Sari Saputra,sari5960@hotmail.com,8396390859,01-09-22,aktive
129,Dedi Purnama,dedi271@hotmail.com,8481650700,09/10/2022,active
130,Mega Utami,mega6603@gmail.com,8895676568,17/11/2023,INACTIVE
131,hendra hartono,hendra4471@hotmail.com,8372840438,17-10-23,actve
132,indaH hartono,indah1277@hotmail.com,8342251136,07-06-20,INACTIVE
133,eko mulyani,eko1834@yahoo.com,8401297477,20/05/2020,INACTIVE
134,SITI SARI,siti7940@yahoo.com,8786548531,2022-09-01,inactive
135,Siti Kusuma,siti736@yahoo.com,8135567777,2020-03-28,BANNED
136,siti basuki,siti8581@gmail.com,8917103900,13-09-22,INACTIVE
137,Dewi Santoso,dewi6718@yahoo.com,8566488329,01/08/2021,INACTIVE
138,maya lestari,maya1514@hotmail.com,8772054166,02/04/2021,active
139,ani kusuma,ani6734@gmail.com,8834924386,2022-04-16,banned
140,ani lestarI,ani2683@hotmail.com,8361585257,15-12-22,INACTIVE
141,Hendra Gunawan,hendra1749@gmail.com,8865125560,2021-11-28,INACTIVE
142,GUNTUR LESTARI,guntur7720@yahoo.com,8181528738,26/05/2023,BANNED
143,ANI SAPUTRA,ani5392@yahoo.com,8942730003,08/07/2022,BANNED
144,sari wijaya,sari3360@hotmail.com,8354814032,24-12-20,INACTIVE
145,MAYA SANTOSO,maya22@yahoo.com,8785709537,2021-02-04,in-active
146,aNi santoso,ani20@yahoo.com,8446400859,24/04/2021,aktive
147,BUDI WIJAYA,budi9387@yahoo.com,8718428325,25-02-23,BANNED
148,Hendra Santoso,hendra6144@gmail.com,8119735089,05-12-22,Active
149,rian sari,rian2217@yahoo.com,8517406562,05/06/2023,banned
150,buDi gunawan,budi2534@hotmail.com,8169379524,06/07/2021,actve
151,Bambang Fauzi,bambang5027@hotmail.com,8183785128,2020-04-06,INACTIVE
152,Ratna Hidayat,ratna5782@yahoo.com,8855236924,2020-05-18,INACTIVE
153,Indah Wijaya,indah1759@yahoo.com,8608951933,02/03/2022,aktive
154,budi purnama,budi5052@yahoo.com,8776183530,29/05/2022,INACTIVE
155,LANI SIREGAR,lani5352@gmail.com,8706715202,2021-10-01,actve
156,Sari Purnama,sari7475@hotmail.com,8134559626,2023-08-16,in-active
157,Hendra Kusuma,hendra1039@gmail.com,8393150594,04/06/2023,in-active
158,ratna hidayat,ratna4586@yahoo.com,8574928012,19-10-20,BANNED
159,ADIT GUNAWAN,adit1005@gmail.com,8814433033,17/04/2021,inactive
160,Putri Mulyani,putri6978@yahoo.com,8722997463,23-03-23,INACTIVE
161,maya purnama,maya235@yahoo.com,8714011799,05-08-21,in-active
162,rian hiDayat,rian1352@gmail.com,8128219146,09-08-21,aktive
163,RIAN SAPUTRA,rian7999@yahoo.com,8773183209,18/10/2022,Active
164,joko fauzi,joko6700@gmail.com,8504908063,2022-06-16,BANNED
165,adit wijaya,adit3677@gmail.com,8836525077,27/10/2023,Active
166,dewi sIregar,dewi5011@yahoo.com,8789935662,21/12/2020,aktive
167,Mega Siregar,mega4589@hotmail.com,8555005252,07/12/2020,Active
168,mega hartono,mega9717@gmail.com,8794794908,2022-12-02,inactive
169,Siti Ramadhan,siti5279@hotmail.com,8897622708,2022-07-01,aktive
170,dewi santoso,dewi8017@yahoo.com,8806401004,17/03/2023,BANNED
171,DEWI PURNAMA,dewi876@hotmail.com,8707601579,2022-03-11,BANNED
172,Adit Gunawan,adit2422@gmail.com,8345723792,2023-08-08,BANNED
173,bambang sapuTra,bambang565@gmail.com,8975810641,2020-12-12,inactive
174,Lani Saputra,lani7058@yahoo.com,8814141839,2022-11-19,in-active
175,Hendra Saputra,hendra2470@gmail.com,8474560040,04/03/2020,BANNED
176,joko pUrnama,joko4456@hotmail.com,8578582367,2023-10-02,actve
177,Maya Basuki,maya54@hotmail.com,8729523380,2021-10-16,BANNED
178,maya purnama,maya3327@hotmail.com,8868871569,11-08-20,BANNED
179,sari wijAya,sari733@hotmail.com,8967927050,2023-02-04,active
180,ani hidayat,ani2146@yahoo.com,8621923767,2023-12-22,aktive
181,putri ramadhan,putri1123@gmail.com,8891609453,10-09-22,BANNED
182,ani pUrnama,ani4520@hotmail.com,8766742846,15-02-23,aktive
183,sari wati,sari3059@hotmail.com,8966061816,2022-10-31,Active
184,ani santoso,ani9488@yahoo.com,8277305291,16/04/2022,INACTIVE
185,Bambang Wati,bambang2793@hotmail.com,8399407637,15/10/2021,Active
186,Bambang Basuki,bambang1087@yahoo.com,8578813566,2023-09-29,actve
187,sari sEtiawan,sari8234@gmail.com,8203058661,10-12-20,active
188,budi uTami,budi6788@yahoo.com,8612929042,27-12-23,in-active
189,Maya Sari,maya4614@yahoo.com,8431595789,2021-09-08,banned
190,Guntur Kusuma,guntur5163@hotmail.com,8876456742,2022-02-21,INACTIVE
191,Siti Basuki,siti2008@yahoo.com,8901536433,31/12/2023,INACTIVE
192,Putri Purnama,putri8217@hotmail.com,8789420365,30/01/2022,BANNED
193,maya mulYani,ani1872@gmail.com,8129546639,14/09/2023,BANNED
194,dewi Gunawan,dewi7781@hotmail.com,8854022653,02/05/2022,banned
195,Lani Siregar,lani6739@gmail.com,8453632463,10-12-21,banned
196,SITI GUNAWAN,siti1127@gmail.com,8187579001,15-01-22,in-active
197,Bambang Purnama,bambang3092@yahoo.com,8527964289,30/11/2022,BANNED
198,adit fauzi,adit336@yahoo.com,8621705585,30/06/2021,INACTIVE
199,riAn ramadhan,rian286@gmail.com,8899886145,2021-08-09,BANNED
200,ani siregar,ani6682@hotmail.com,8526065231,26/08/2020,INACTIVE
201,Maya Kusuma,maya1114@yahoo.com,8225967282,09/05/2020,INACTIVE
202,Guntur Setiawan,guntur6555@hotmail.com,8856427045,15/05/2021,in-active
203,Ani Hidayat,ani394@hotmail.com,8989983412,02/07/2021,in-active
204,Dewi Wati,dewi1993@yahoo.com,8129288210,04-12-20,in-active
205,Guntur Kusuma,guntur3638@yahoo.com,8711962603,10-10-22,actve
206,maya sari,maya9914@hotmail.com,8662953654,03/01/2022,INACTIVE
207,Dedi Hidayat,dedi9676@gmail.com,8687837297,2021-08-15,aktive
208,Guntur Nasution,guntur3913@hotmail.com,8557148341,16-05-20,actve
209,Dedi Siregar,dedi6173@yahoo.com,8482706437,2022-07-31,BANNED
210,lani purnama,hendra6144@gmail.com,8472549633,2022-08-20,in-active
211,Ani Nasution,ani4561@yahoo.com,8177937826,17/12/2020,actve
212,ani siregar,ani1823@gmail.com,8468436274,2021-02-19,in-active
213,ratna hartono,ratna6656@gmail.com,8766417771,01-03-20,aktive
214,budi kuSuma,budi1592@hotmail.com,8743076982,25/08/2020,actve
215,EKO SANTOSO,eko8467@yahoo.com,8991608637,13/12/2022,actve
216,eko nasutiOn,eko2341@yahoo.com,8519207612,2022-03-26,actve
217,Joko Hartono,joko4554@hotmail.com,8187819266,22/06/2023,active
218,Joko Gunawan,joko8924@gmail.com,8899938951,2023-03-09,actve
219,joko wijaya,joko1699@hotmail.com,8138822613,03-09-20,BANNED
220,BAMBANG BASUKI,bambang8871@gmail.com,8396988584,02-11-21,inactive
221,Hendra Setiawan,hendra8501@yahoo.com,8492500733,2022-09-24,banned
222,MEGA BASUKI,mega7813@gmail.com,8717251033,2020-12-12,in-active
223,Sari Setiawan,sari201@gmail.com,8561501086,26/10/2020,Active
224,PUTRI GUNAWAN,putri8939@gmail.com,8435488982,04-04-22,banned
225,Dedi Hidayat,dedi7322@gmail.com,8277400799,05-04-20,inactive
226,Ratna Purnama,ratna7259@hotmail.com,8316517684,04/01/2021,active
227,siti puRnama,siti1592@gmail.com,8658914351,13/01/2023,actve
228,Adit Purnama,adit5530@gmail.com,8436151269,2020-07-23,aktive
229,ANI RAMADHAN,ani4992@gmail.com,8402293809,03-01-20,in-active
230,budi utami,budi9409@hotmail.com,8306186219,17/09/2023,actve
231,putri wati,putri6946@yahoo.com,8885533023,07-06-21,inactive
232,Ani Wati,ani7094@gmail.com,8125986675,24-10-20,BANNED
233,sari wAti,sari3791@yahoo.com,8464267013,15-06-21,inactive
234,Bambang Wijaya,bambang8781@yahoo.com,8692870620,30/07/2020,banned
235,dewi nasution,dewi8855@gmail.com,8697868498,2023-01-19,active
236,Adit Basuki,adit4407@hotmail.com,8507612758,04/09/2021,inactive
237,guntur ramadhan,joko5701@hotmail.com,8225189702,2021-06-17,active
238,Indah Nasution,indah872@gmail.com,8457698260,05-02-20,BANNED
239,Dewi Lestari,dewi8302@yahoo.com,8394916849,09-06-22,in-active
240,Ratna Hartono,ratna4193@yahoo.com,8904306073,03-03-22,aktive
241,sari wijaya,sari728@gmail.com,8715878001,2020-11-11,in-active
242,riaN pratama,rian6576@gmail.com,8886292442,31-08-22,in-active
243,Putri Siregar,putri209@hotmail.com,8972857242,2023-10-02,Active
244,Dedi Setiawan,dedi4739@yahoo.com,8885559469,10-03-22,actve
245,dedi gunawan,dedi3197@gmail.com,8583397813,06-06-20,Active
246,Eko Saputra,eko2819@yahoo.com,8553310562,17-02-22,actve
247,SITI PURNAMA,siti6047@yahoo.com,8313748378,26-04-23,inactive
248,maya ramadhan,maya168@hotmail.com,8563224497,13-10-23,active
249,mega fauzI,mega3452@gmail.com,8609576370,04-06-22,in-active
250,Siti Setiawan,siti4630@hotmail.com,8203486351,2023-10-19,active
251,Putri Kusuma,putri3216@yahoo.com,8556045807,06/01/2022,Active
252,Lani Nasution,lani672@gmail.com,8912704424,29/02/2020,banned
253,Guntur Utami,guntur6011@hotmail.com,8951699286,13-10-22,aktive
254,sari wati,sari1710@yahoo.com,8837920536,2023-10-21,BANNED
255,putri pratAma,putri9912@hotmail.com,8862834374,29/03/2020,aktive
256,INDAH PRATAMA,indah3599@hotmail.com,8968714682,13/11/2020,in-active
257,Lani Santoso,lani3395@hotmail.com,8887931291,2022-11-15,in-active
258,BUDI PRATAMA,budi7902@yahoo.com,8735083540,23/12/2023,Active
259,ani wati,ani928@gmail.com,8426587384,2021-12-29,banned
260,GUNTUR PRATAMA,guntur985@yahoo.com,8503630980,2020-04-02,in-active
261,HENDRA UTAMI,hendra4091@hotmail.com,8353245681,08-06-21,INACTIVE
262,INDAH WATI,indah1169@hotmail.com,8856418854,17-01-22,BANNED
263,Adit Pratama,adit2911@gmail.com,8127656437,2023-12-30,BANNED
264,Bambang Basuki,bambang1250@yahoo.com,8753114883,01/08/2022,INACTIVE
265,dewi hidAyat,dewi2538@yahoo.com,8509268103,2021-10-23,Active
266,Hendra Siregar,hendra6260@gmail.com,8616239583,2023-03-10,inactive
267,Eko Saputra,eko616@hotmail.com,8699675308,30/08/2020,BANNED
268,RATNA SARI,ratna7547@hotmail.com,8817987096,2022-07-02,inactive
269,MEGA WIJAYA,mega6119@gmail.com,8663291525,06-11-20,Active
270,Adit Fauzi,adit5112@yahoo.com,8646748876,06-11-22,Active
271,Dedi Mulyani,dedi8007@hotmail.com,8327373051,06-06-23,active
272,EKO WIJAYA,eko9973@yahoo.com,8901759407,22/02/2023,active
273,lani nasution,lani4412@yahoo.com,8756983852,09-01-21,banned
274,indah wijaya,indah707@gmail.com,8405632089,2023-07-07,active
275,adit harTono,adit4547@hotmail.com,8461889612,2020-12-06,INACTIVE
276,Agus Hartono,agus4568@yahoo.com,8331320450,2021-02-24,in-active
277,Dewi Hartono,dewi2609@yahoo.com,8532050944,18-08-23,BANNED
278,Dedi Kusuma,dedi6543@hotmail.com,8213318816,16/01/2022,actve
279,guntur gunawan,guntur4568@gmail.com,8497470466,20/01/2021,Active
280,BAMBANG GUNAWAN,bambang8429@yahoo.com,8858790361,2022-01-14,active
281,joko hidayAt,joko8960@yahoo.com,8375483307,18/04/2021,inactive
282,eko fauzi,eko8996@yahoo.com,8831066154,2020-10-22,active
283,Hendra Mulyani,hendra5125@hotmail.com,8993818467,09-02-22,actve
284,ani hidayat,ani9911@hotmail.com,8738537355,2023-08-11,actve
285,budi utAmi,budi4056@hotmail.com,8867338572,2020-11-08,INACTIVE
286,Indah Setiawan,indah7231@yahoo.com,8539307776,30-03-22,active
287,Dewi Mulyani,dewi2656@hotmail.com,8211010796,16/07/2023,BANNED
288,lani gunawan,lani6733@yahoo.com,8628767585,05/11/2022,INACTIVE
289,maya wiJaya,maya4272@hotmail.com,8373379750,18-01-23,inactive
290,Rian Hartono,rian5430@yahoo.com,8155555709,2021-07-24,INACTIVE
291,LANI UTAMI,lani2627@gmail.com,8709660114,2022-03-01,inactive
292,agus utami,agus909@hotmail.com,8515507449,2021-05-23,aktive
293,Guntur Sari,guntur5956@yahoo.com,8221547359,2020-04-12,aktive
294,ratna hartono,ratna7663@yahoo.com,8976306904,14/02/2020,INACTIVE
295,ANI SAPUTRA,ani5453@gmail.com,8157059420,2023-11-24,active
296,Eko Setiawan,eko1175@hotmail.com,8252692906,07/04/2021,actve
297,BUDI SETIAWAN,budi7745@hotmail.com,8491730787,26-01-22,BANNED
298,agus hidayat,agus9815@yahoo.com,8152634500,2020-09-28,in-active
299,hendra saPutra,hendra9684@yahoo.com,8173383593,03/09/2021,active
300,mega ramadhan,mega8706@yahoo.com,8196386046,29/05/2021,active
301,siti fauzi,hendra1039@gmail.com,8126468461,2020-08-25,inactive
302,HENDRA KUSUMA,hendra2084@gmail.com,8874750597,2021-07-22,Active
303,ratna siregar,ratna5297@hotmail.com,8278417872,17/06/2022,BANNED
304,rian saputra,rian1130@gmail.com,8698689810,2023-11-03,actve
305,Putri Purnama,lani2627@gmail.com,8831455692,26-10-23,BANNED
306,maya Setiawan,maya6410@yahoo.com,8401508676,21/09/2020,active
307,Putri Hidayat,putri5253@hotmail.com,8176315347,30-05-20,BANNED
308,ratna fauZi,ratna6518@gmail.com,8718421452,05/05/2020,in-active
309,Ani Pratama,ani8186@hotmail.com,8122728495,2020-04-12,in-active
310,Guntur Siregar,guntur1815@yahoo.com,8548409243,04-12-20,active
311,maya utami,sari7475@hotmail.com,8461931245,2022-02-23,banned
312,budi hartono,budi7783@hotmail.com,8777178130,2021-10-23,BANNED
313,budi guNawan,budi9183@hotmail.com,8468130644,24/01/2020,Active
314,Lani Fauzi,eko8584@hotmail.com,8942498043,2023-06-09,in-active
315,SITI MULYANI,siti1938@gmail.com,8121370619,2023-12-07,BANNED
316,HENDRA LESTARI,hendra9187@yahoo.com,8488590361,2020-09-24,inactive
317,Guntur Basuki,guntur4308@hotmail.com,8985447439,2021-10-16,active
318,sari ramadhan,sari5315@gmail.com,8831818238,21-07-22,actve
319,Dedi Saputra,dedi7100@gmail.com,8563913978,08-05-22,inactive
320,Sari Saputra,sari5853@gmail.com,8766921391,13-12-21,inactive
321,Dedi Wijaya,dedi2471@gmail.com,8784215952,2021-04-08,BANNED
322,budi purnama,budi491@hotmail.com,8988979421,24/10/2021,aktive
323,indah Utami,indah361@gmail.com,8989186097,2021-01-05,in-active
324,Guntur Gunawan,guntur5748@hotmail.com,8423623911,04-03-20,in-active
325,Maya Mulyani,maya4553@gmail.com,8325572208,2023-05-10,banned
326,RIAN UTAMI,rian5892@gmail.com,8919563124,11/08/2022,Active
327,ratna nasution,ratna1562@gmail.com,8738787789,14/09/2023,actve
328,Dewi Sari,dewi7689@yahoo.com,8852327348,29/04/2021,actve
329,Putri Kusuma,putri3670@hotmail.com,8503604997,03-07-21,actve
330,riAn sari,rian5319@hotmail.com,8508043118,03-04-20,actve
331,Dewi Lestari,dewi7423@hotmail.com,8612833509,09-10-21,active
332,ratna sari,ratna4410@gmail.com,8131075025,14/11/2022,banned
333,Joko Lestari,joko9354@yahoo.com,8179496732,08/07/2021,INACTIVE
334,Mega Hidayat,mega5488@hotmail.com,8981053429,2022-11-23,active
335,Bambang Mulyani,bambang7260@gmail.com,8268799417,2020-02-24,in-active
336,DEWI HARTONO,dewi3764@yahoo.com,8811024865,12/02/2020,banned
337,DEDI UTAMI,dedi565@gmail.com,8996368846,12/05/2023,in-active
338,guntur hidayat,guntur9864@gmail.com,8562768414,2021-06-11,in-active
339,budi lestari,budi9571@gmail.com,8982360180,20/05/2021,INACTIVE
340,Agus Purnama,agus7482@yahoo.com,8656234009,04-04-23,actve
341,guntur sapUtra,guntur1825@yahoo.com,8358071091,03-04-21,in-active
342,Eko Pratama,eko6726@gmail.com,8784667449,14-08-22,INACTIVE
343,Adit Hidayat,adit3270@yahoo.com,8917678511,15-06-21,BANNED
344,rian pUrnama,rian2850@yahoo.com,8316754726,2023-09-07,active
345,Lani Gunawan,lani2219@yahoo.com,8251710282,2021-02-22,banned
346,lani hArtono,lani4109@yahoo.com,8182307931,2022-09-16,banned
347,Budi Lestari,budi630@yahoo.com,8569507356,14/09/2023,Active
348,RIAN SETIAWAN,rian107@gmail.com,8471961136,2023-03-11,aktive
349,Eko Purnama,eko7668@hotmail.com,8681763030,18-04-21,INACTIVE
350,Hendra Basuki,hendra8588@yahoo.com,8236382529,31/03/2023,Active
351,Guntur Utami,guntur9498@hotmail.com,8554748387,12-01-22,aktive
352,Joko Fauzi,joko4474@hotmail.com,8292236880,2022-01-20,aktive
353,Maya Ramadhan,maya6563@hotmail.com,8585727507,2020-09-11,in-active
354,BAMBANG SAPUTRA,bambang5541@hotmail.com,8128489828,14-11-20,BANNED
355,SARI MULYANI,sari8004@gmail.com,8289459560,2020-01-07,INACTIVE
356,ADIT SANTOSO,adit4265@hotmail.com,8515406935,30-11-20,inactive
357,heNdra kusuma,hendra8531@gmail.com,8635494134,2022-11-06,BANNED
358,Guntur Mulyani,guntur4070@gmail.com,8892659410,27/03/2022,in-active
359,sari nasutIon,sari6248@yahoo.com,8492850664,2023-01-23,Active
360,indah gunAwan,indah1759@gmail.com,8443948925,2020-12-06,Active
361,mega lestari,mega4734@yahoo.com,8655404395,2020-08-11,actve
362,Maya Wijaya,budi2857@gmail.com,8592713399,17-11-23,active
363,Hendra Mulyani,hendra9985@gmail.com,8925953694,2020-10-11,aktive
364,Guntur Kusuma,guntur2805@hotmail.com,8671044831,31-05-22,aktive
365,Bambang Wijaya,bambang9136@yahoo.com,8906356233,01/05/2023,INACTIVE
366,Putri Siregar,putri2100@yahoo.com,8586359722,2021-07-04,banned
367,Putri Hidayat,putri3728@gmail.com,8605866466,2022-01-30,inactive
368,RIAN HIDAYAT,rian8842@gmail.com,8537501460,28-11-20,banned
